2021-01-30 19:05:12.0754 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.1622 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.2612 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.3818 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.4803 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.5937 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.7013 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.8087 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:12.9216 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.0117 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.1234 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.2295 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.3609 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.4736 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.5720 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.6867 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.7718 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.8856 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:13.9974 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.0823 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.1734 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.2804 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.3722 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.4614 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.5697 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.6863 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.7920 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:14.9106 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.0124 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.1196 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.2100 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.3032 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.4285 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.5181 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.6029 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.6937 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.8069 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:15.9328 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.0360 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.1545 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.2908 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.3792 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.4759 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.5980 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.6895 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.7954 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.9037 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:16.9924 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.0894 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.1951 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.3138 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.4168 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.5251 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.6049 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.6898 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.7935 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:17.9220 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.0278 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.1205 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.2023 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.2873 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.4044 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.5016 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.5929 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.6816 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.7969 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:18.9431 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:19.0249 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:19.1081 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:19.2121 || INFO ||  Current Barcode : ssss||  
