2021-01-10 16:09:15.1521 || ERROR || @ index : 0||  
2021-01-10 16:09:15.1683 || ERROR || ^ index : 115||  
2021-01-10 16:09:15.1683 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:09:15.1810 || INFO || Length||  
2021-01-10 16:09:15.1810 || INFO || 14||  
2021-01-10 16:09:15.1810 || INFO || ONGOING||  
2021-01-10 16:09:43.2230 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:10:02.0679 || INFO || Receving string||  
2021-01-10 16:10:02.5753 || INFO || ||  
2021-01-10 16:10:03.6874 || ERROR || @ index : -1||  
2021-01-10 16:10:03.8868 || ERROR || ^ index : -1||  
2021-01-10 16:10:05.2454 || INFO || Receving string||  
2021-01-10 16:10:05.4253 || INFO || ||  
2021-01-10 16:10:06.3532 || ERROR || @ index : -1||  
2021-01-10 16:10:06.4892 || ERROR || ^ index : -1||  
2021-01-10 16:10:22.4689 || INFO || Receving string||  
2021-01-10 16:10:22.4838 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:10:22.4967 || ERROR || @ index : 0||  
2021-01-10 16:10:22.5089 || ERROR || ^ index : 115||  
2021-01-10 16:10:22.5089 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:10:22.5247 || INFO || Length||  
2021-01-10 16:10:22.5247 || INFO || 14||  
2021-01-10 16:10:22.5391 || INFO || ONGOING||  
2021-01-10 16:10:53.8955 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:16:51.5795 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:16:55.4608 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 16:17:26.3771 || INFO || Receving string||  
2021-01-10 16:17:26.3968 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:17:26.4088 || ERROR || @ index : 0||  
2021-01-10 16:17:26.4178 || ERROR || ^ index : 115||  
2021-01-10 16:17:26.4178 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:17:26.4323 || INFO || Length||  
2021-01-10 16:17:26.4323 || INFO || 14||  
2021-01-10 16:17:26.4323 || INFO || ONGOING||  
2021-01-10 16:17:44.8950 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:18:04.7178 || INFO || Receving string||  
2021-01-10 16:18:05.2639 || INFO || ||  
2021-01-10 16:18:07.5516 || ERROR || @ index : -1||  
